id,first_name,last_name,full_name,country,wealthy_parents,parent_on_wiki
89304,Novak,Djokovic,Novak Djokovic,Serbia,,
86928,Rafael,Nadal,Rafael Nadal,Spain,,
342990,Alexander,Zverev,Alexander Zverev,Germany,,
91668,Potro,Del,Potro Del,Argentina,,
93378,Kevin,Anderson,Kevin Anderson,South Africa,,
86064,Roger,Federer,Roger Federer,Switzerland,,
94410,Kei,Nishikori,Kei Nishikori,Japan,,
262500,Dominic,Thiem,Dominic Thiem,Austria,,
96732,John,Isner,John Isner,USA,,
92334,Marin,Cilic,Marin Cilic,Croatia,,
540492,Karen,Khachanov,Karen Khachanov,Russia,,
734208,Stefanos,Tsitsipas,Stefanos Tsitsipas,Greece,,
387492,Borna,Coric,Borna Coric,Croatia,,
108678,Milos,Raonic,Milos Raonic,Canada,,
92616,Fabio,Fognini,Fabio Fognini,Italy,,
981036,Daniil,Medvedev,Daniil Medvedev,Russia,,
346230,Lucas,Pouille,Lucas Pouille,France,,
100332,Agut,Bautista,Agut Bautista,Spain,,
267306,Marco,Cecchinato,Marco Cecchinato,Italy,,
291606,Diego,Schwartzman,Diego Schwartzman,Argentina,,
155040,David,Goffin,David Goffin,Belgium,,
157236,Nikoloz,Basilashvili,Nikoloz Basilashvili,Georgia,,
244812,Busta,Carreno,Busta Carreno,Spain,,
141498,Grigor,Dimitrov,Grigor Dimitrov,Bulgaria,,
707508,Denis,Shapovalov,Denis Shapovalov,Canada,,
86940,Fernando,Verdasco,Fernando Verdasco,Spain,,
86496,Richard,Gasquet,Richard Gasquet,France,,
1207446,Minaur,De,Minaur De,Australia,,
392304,Kyle,Edmund,Kyle Edmund,United Kingdom,,
606618,Frances,Tiafoe,Frances Tiafoe,USA,,
88428,Gilles,Simon,Gilles Simon,France,,
87756,Philipp,Kohlschreiber,Philipp Kohlschreiber,Germany,,
89076,Gael,Monfils,Gael Monfils,France,,
230970,Steve,Johnson,Steve Johnson,USA,,
94986,Jeremy,Chardy,Jeremy Chardy,France,,
198702,John,Millman,John Millman,Australia,,
88650,Andreas,Seppi,Andreas Seppi,Italy,,
95910,Martin,Klizan,Martin Klizan,Slovakia,,
226722,Joao,Sousa,Joao Sousa,Portugal,,
816264,Taylor,Fritz,Taylor Fritz,USA,,
537804,Nicolas,Jarry,Nicolas Jarry,Chile,,
235416,Dusan,Lajovic,Dusan Lajovic,Serbia,,
95130,Malek,Jaziri,Malek Jaziri,Tunisia,,
267330,Pierre,Herbert,Pierre Herbert,France,,
98466,Matthew,Ebden,Matthew Ebden,Australia,,
95376,Adrian,Mannarino,Adrian Mannarino,France,,
286632,Marton,Fucsovics,Marton Fucsovics,Hungary,,
91818,Sam,Querrey,Sam Querrey,USA,,
93402,Leonardo,Mayer,Leonardo Mayer,Argentina,,
499278,Hyeon,Chung,Hyeon Chung,South Korea,,
278358,Jan,Struff,Jan Struff,Germany,,
295044,Damir,Dzumhur,Damir Dzumhur,Bosnia & Herzegovina,,
676710,Matteo,Berrettini,Matteo Berrettini,Italy,,
96264,Robin,Haase,Robin Haase,Netherlands,,
100110,Mikhail,Kukushkin,Mikhail Kukushkin,Kazakhstan,,
97974,Marius,Copil,Marius Copil,Romania,,
87300,Stan,Wawrinka,Stan Wawrinka,Switzerland,,
133320,Benoit,Paire,Benoit Paire,France,,
219582,Denis,Kudla,Denis Kudla,USA,,
146520,Guido,Pella,Guido Pella,Argentina,,
526152,Jordan,Thompson,Jordan Thompson,Australia,,
97176,Peter,Gojowczyk,Peter Gojowczyk,Germany,,
86802,Feliciano,Lopez,Feliciano Lopez,Spain,,
575622,Cameron,Norrie,Cameron Norrie,United Kingdom,,
228144,Aljaz,Bedene,Aljaz Bedene,Slovenia,,
355698,Yoshihito,Nishioka,Yoshihito Nishioka,Japan,,
374952,Nick,Kyrgios,Nick Kyrgios,Australia,,
96078,Mischa,Zverev,Mischa Zverev,Germany,,
291804,Taro,Daniel,Taro Daniel,Japan,,
283782,Guido,Andreozzi,Guido Andreozzi,Argentina,,
100944,Vinolas,Ramos,Vinolas Ramos,Spain,,
137832,Filip,Krajinovic,Filip Krajinovic,Serbia,,
953388,Hubert,Hurkacz,Hubert Hurkacz,Poland,,
306858,Baena,Carballes,Baena Carballes,Spain,,
220080,Tennys,Sandgren,Tennys Sandgren,USA,,
429972,Maximilian,Marterer,Maximilian Marterer,Germany,,
211014,Federico,Delbonis,Federico Delbonis,Argentina,,
87174,Ivo,Karlovic,Ivo Karlovic,Croatia,,
87072,Tomáš,Berdych,Tomáš Berdych,Czech Republic,,
758148,Jaume,Munar,Jaume Munar,Spain,,
535932,Ilya,Ivashka,Ilya Ivashka,Belarus,,
380640,Mackenzie,Mcdonald,Mackenzie Mcdonald,USA,,
92604,Pablo,Andujar,Pablo Andujar,Spain,,
94362,Ernests,Gulbis,Ernests Gulbis,Latvia,,
99102,Thomas,Fabbiano,Thomas Fabbiano,Italy,,
102492,Bernard,Tomic,Bernard Tomic,Australia,,
230460,Bradley,Klahn,Bradley Klahn,USA,,
583398,Laslo,Djere,Laslo Djere,Serbia,,
342138,Jozef,Kovalik,Jozef Kovalik,Slovakia,,
267294,Radu,Albot,Radu Albot,Moldova,,
1112340,Ugo,Humbert,Ugo Humbert,France,,
94746,Pablo,Cuevas,Pablo Cuevas,Uruguay,,
137412,Ryan,Harrison,Ryan Harrison,USA,,
100686,Vasek,Pospisil,Vasek Pospisil,Canada,,
